Año,Mes,Fecha y hora,Dia de la semana,Comuna/Corregimiento,Area del Hecho,Clase de Area Hecho,Genero,Edad,Mecanismo Muerte,Evento relacionado con el hecho
2012,4,2012-04-08T22:45:00.000,domingo,8,Zona urbana,Espacio o Vía Pública,Masculino,15,Arma de Fuego,Violencia impulsiva o expresiva
2012,4,2012-04-09T18:40:00.000,lunes,3,Zona urbana,Espacio o Vía Pública,Femenino,57,Otra arma,Violencia instrumental
2012,4,2012-04-10T02:50:00.000,martes,8,Zona urbana,Espacio o Vía Pública,Masculino,53,Arma Blanca,Violencia impulsiva o expresiva
2012,4,2012-04-21T10:45:00.000,sábado,1,Zona urbana,Espacio o Vía Pública,Masculino,41,Arma de Fuego,Violencia instrumental
2012,4,2012-04-22T08:30:00.000,domingo,Ninguna,Zona urbana,Rio / Laguna,Masculino,28,Arma de Fuego,Violencia instrumental
2012,5,2012-05-03T23:40:00.000,jueves,7,Zona urbana,Espacio o Vía Pública,Masculino,43,Arma Blanca,Violencia impulsiva o expresiva
2012,5,2012-05-03T22:00:00.000,jueves,4,Zona urbana,Lugar de Trabajo,Masculino,51,Arma de Fuego,Violencia impulsiva o expresiva
2012,5,2012-05-06T02:00:00.000,domingo,6,Zona urbana,Espacio o Vía Pública,Masculino,30,Arma de Fuego,Violencia impulsiva o expresiva
2012,5,2012-05-14T15:15:00.000,lunes,6,Zona urbana,Espacio o Vía Pública,Masculino,32,Arma Blanca,Violencia impulsiva o expresiva
2012,5,2012-05-23T21:30:00.000,miércoles,6,Zona urbana,Espacio o Vía Pública,Masculino,18,Arma de Fuego,Violencia impulsiva o expresiva
2012,5,2012-05-26T06:00:00.000,sábado,8,Zona urbana,Espacio o Vía Pública,Masculino,36,Arma de Fuego,Violencia impulsiva o expresiva
2012,5,2012-05-26T23:50:00.000,sábado,El Caguán,Zona urbana,Espacio o Vía Pública,Masculino,38,Arma Blanca,Violencia impulsiva o expresiva
2012,6,2012-06-02T22:30:00.000,sábado,9,Zona urbana,Espacio o Vía Pública,Masculino,19,Arma de Fuego,Violencia impulsiva o expresiva
2012,6,2012-06-12T21:20:00.000,martes,6,Zona urbana,Vivienda,Masculino,54,Arma de Fuego,Desconocido / Por Establecer
2012,6,2012-06-14T17:50:00.000,jueves,6,Zona urbana,Espacio o Vía Pública,Masculino,24,Arma de Fuego,Violencia instrumental
2012,6,2012-06-17T05:30:00.000,domingo,4,Zona urbana,Espacio o Vía Pública,Masculino,27,Arma de Fuego,Violencia impulsiva o expresiva
2012,6,2012-06-19T06:35:00.000,martes,8,Zona urbana,Vivienda,Masculino,58,Arma de Fuego,Violencia instrumental
2012,6,2012-06-24T03:10:00.000,domingo,10,Zona urbana,Espacio o Vía Pública,Masculino,18,Arma de Fuego,Violencia impulsiva o expresiva
2012,6,2012-06-24T06:50:00.000,domingo,10,Zona urbana,Otro Lugar,Masculino,38,Arma Blanca,Violencia impulsiva o expresiva
2012,6,2012-06-30T20:00:00.000,sábado,6,Zona urbana,Espacio o Vía Pública,Masculino,35,Arma de Fuego,Violencia impulsiva o expresiva
2012,7,2012-07-01T19:00:00.000,domingo,4,Zona urbana,Espacio o Vía Pública,Masculino,16,Arma Blanca,Violencia impulsiva o expresiva
2012,7,2012-07-02T23:50:00.000,lunes,1,Zona urbana,Cárcel,Masculino,15,Estrangulación /Asfixia,Desconocido / Por Establecer
2012,7,2012-07-08T17:20:00.000,domingo,8,Zona urbana,Espacio o Vía Pública,Masculino,21,Arma de Fuego,Violencia instrumental
2012,7,2012-07-08T02:40:00.000,domingo,10,Zona urbana,Espacio o Vía Pública,Femenino,55,Arma de Fuego,Violencia impulsiva o expresiva
2012,7,2012-07-19T06:00:00.000,jueves,6,Zona urbana,Vivienda,Masculino,21,Arma de Fuego,Violencia instrumental
2012,7,2012-07-20T20:15:00.000,viernes,9,Zona urbana,Espacio o Vía Pública,Masculino,26,Arma de Fuego,Violencia impulsiva o expresiva
2012,7,2012-07-24T21:39:00.000,martes,10,Zona urbana,Espacio o Vía Pública,Masculino,22,Arma de Fuego,Violencia impulsiva o expresiva
2012,7,2012-07-29T00:30:00.000,domingo,9,Zona urbana,Espacio o Vía Pública,Masculino,16,Arma de Fuego,Violencia instrumental
2012,7,2012-07-30T07:30:00.000,lunes,8,Zona urbana,Espacio o Vía Pública,Masculino,31,Arma de Fuego,Violencia instrumental
2012,7,2012-07-31T23:30:00.000,martes,6,Zona urbana,Espacio o Vía Pública,Masculino,32,Arma de Fuego,Violencia impulsiva o expresiva
2012,8,2012-08-04T20:00:00.000,sábado,8,Zona urbana,Vivienda,Masculino,30,Arma de Fuego,Violencia instrumental
2012,8,2012-08-12T20:30:00.000,domingo,6,Zona urbana,Bar o similares,Masculino,31,Arma de Fuego,Violencia impulsiva o expresiva
2012,8,2012-08-16T23:00:00.000,jueves,6,Zona urbana,Espacio o Vía Pública,Masculino,17,Arma Blanca,Violencia instrumental
2012,8,2012-08-17T10:00:00.000,viernes,Fortalecillas,Zona Rural,Finca o Campo Abierto,Femenino,31,Arma de Fuego,Violencia impulsiva o expresiva
2012,8,2012-08-17T10:00:00.000,viernes,Fortalecillas,Zona Rural,Finca o Campo Abierto,Femenino,48,Arma de Fuego,Violencia impulsiva o expresiva
2012,8,2012-08-19T23:30:00.000,domingo,8,Zona urbana,Espacio o Vía Pública,Masculino,25,Arma de Fuego,Violencia impulsiva o expresiva
2012,8,2012-08-19T02:51:00.000,domingo,10,Zona urbana,Espacio o Vía Pública,Masculino,32,Arma de Fuego,Violencia instrumental
2012,9,2012-09-02T18:42:00.000,domingo,6,Zona urbana,Espacio o Vía Pública,Masculino,26,Arma de Fuego,Violencia impulsiva o expresiva
2012,9,2012-09-03T00:26:00.000,lunes,6,Zona urbana,Espacio o Vía Pública,Masculino,44,Arma de Fuego,Violencia instrumental
2012,9,2012-09-08T21:00:00.000,sábado,9,Zona urbana,Espacio o Vía Pública,Masculino,44,Arma de Fuego,Violencia impulsiva o expresiva
2012,9,2012-09-12T21:30:00.000,miércoles,2,Zona urbana,Espacio o Vía Pública,Masculino,22,Arma de Fuego,Violencia impulsiva o expresiva
2012,9,2012-09-15T06:00:00.000,sábado,San Luis,Zona Rural,Espacio o Vía Pública,Masculino,27,Arma de Fuego,Violencia impulsiva o expresiva
2012,9,2012-09-20T23:30:00.000,jueves,8,Zona urbana,Espacio o Vía Pública,Masculino,25,Arma de Fuego,Violencia impulsiva o expresiva
2012,9,2012-09-24T13:00:00.000,lunes,7,Zona urbana,Vivienda,Masculino,43,Arma de Fuego,Violencia impulsiva o expresiva
2012,10,2012-10-03T15:30:00.000,miércoles,Fortalecillas,Zona Rural,Rio / Laguna,Masculino,17,Arma de Fuego,Violencia impulsiva o expresiva
2012,10,2012-10-03T15:30:00.000,miércoles,Fortalecillas,Zona Rural,Rio / Laguna,Masculino,22,Arma de Fuego,Violencia impulsiva o expresiva
2012,10,2012-10-03T15:30:00.000,miércoles,Fortalecillas,Zona Rural,Rio / Laguna,Masculino,22,Arma de Fuego,Violencia impulsiva o expresiva
2012,10,2012-10-07T04:50:00.000,domingo,1,Zona urbana,Espacio o Vía Pública,Masculino,28,Arma de Fuego,Violencia impulsiva o expresiva
2012,10,2012-10-10T20:00:00.000,miércoles,8,Zona urbana,Espacio o Vía Pública,Femenino,21,Arma de Fuego,Violencia impulsiva o expresiva
2012,10,2012-10-12T08:00:00.000,viernes,1,Zona urbana,Rio / Laguna,Masculino,27,Arma de Fuego,Violencia impulsiva o expresiva
2012,10,2012-10-13T21:00:00.000,sábado,Ninguna,Zona urbana,Lugar de Trabajo,Femenino,51,Arma Blanca,Violencia impulsiva o expresiva
2012,10,2012-10-14T00:50:00.000,domingo,4,Zona urbana,Espacio o Vía Pública,Masculino,36,Arma de Fuego,Violencia impulsiva o expresiva
2012,10,2012-10-20T23:00:00.000,sábado,6,Zona urbana,Espacio o Vía Pública,Masculino,17,Arma Blanca,Violencia impulsiva o expresiva
2012,10,2012-10-28T03:00:00.000,domingo,8,Zona urbana,Espacio o Vía Pública,Masculino,50,Arma de Fuego,Violencia impulsiva o expresiva
2012,10,2012-10-31T22:37:00.000,miércoles,4,Zona urbana,Espacio o Vía Pública,Masculino,44,Arma de Fuego,Violencia impulsiva o expresiva
2012,11,2012-11-01T19:30:00.000,jueves,8,Zona urbana,Vivienda,Femenino,12,Arma de Fuego,Violencia impulsiva o expresiva
2012,11,2012-11-01T22:00:00.000,jueves,9,Zona urbana,Espacio o Vía Pública,Masculino,25,Arma de Fuego,Violencia impulsiva o expresiva
2012,11,2012-11-02T23:00:00.000,viernes,7,Zona urbana,Espacio o Vía Pública,Masculino,30,Arma de Fuego,Violencia impulsiva o expresiva
2012,11,2012-11-02T23:00:00.000,viernes,7,Zona urbana,Espacio o Vía Pública,Masculino,40,Arma de Fuego,Violencia impulsiva o expresiva
2012,11,2012-11-05T02:10:00.000,lunes,4,Zona urbana,Espacio o Vía Pública,Masculino,19,Arma Blanca,Violencia impulsiva o expresiva
2012,11,2012-11-17T08:10:00.000,sábado,1,Zona urbana,Espacio o Vía Pública,Masculino,29,Arma Blanca,Violencia impulsiva o expresiva
2012,11,2012-11-18T04:00:00.000,domingo,6,Zona urbana,Espacio o Vía Pública,Masculino,28,Arma de Fuego,Violencia impulsiva o expresiva
2012,11,2012-11-22T06:45:00.000,jueves,8,Zona urbana,Espacio o Vía Pública,Masculino,28,Arma de Fuego,Violencia instrumental
2012,11,2012-11-25T00:30:00.000,domingo,7,Zona urbana,Espacio o Vía Pública,Masculino,30,Arma de Fuego,Violencia impulsiva o expresiva
2012,11,2012-11-25T20:00:00.000,domingo,1,Zona urbana,Espacio o Vía Pública,Masculino,54,Arma de Fuego,Violencia impulsiva o expresiva
2012,11,2012-11-27T19:15:00.000,martes,3,Zona urbana,Vivienda,Masculino,29,Arma de Fuego,Violencia impulsiva o expresiva
2012,12,2012-12-01T18:30:00.000,sábado,8,Zona urbana,Espacio o Vía Pública,Masculino,16,Arma de Fuego,Violencia impulsiva o expresiva
2012,12,2012-12-05T00:10:00.000,miércoles,9,Zona urbana,Espacio o Vía Pública,Masculino,32,Arma de Fuego,Violencia impulsiva o expresiva
2012,12,2012-12-08T19:38:00.000,sábado,6,Zona urbana,Espacio o Vía Pública,Masculino,29,Arma de Fuego,Violencia impulsiva o expresiva
2012,12,2012-12-11T06:30:00.000,martes,4,Zona urbana,Otro Lugar,Masculino,42,Arma de Fuego,Violencia instrumental
2012,12,2012-12-12T21:00:00.000,miércoles,6,Zona urbana,Espacio o Vía Pública,Masculino,31,Arma de Fuego,Violencia impulsiva o expresiva
2012,12,2012-12-13T05:00:00.000,jueves,4,Zona urbana,Espacio o Vía Pública,Masculino,38,Arma de Fuego,Violencia impulsiva o expresiva
2012,12,2012-12-18T23:00:00.000,martes,9,Zona urbana,Espacio o Vía Pública,Masculino,16,Arma de Fuego,Violencia impulsiva o expresiva
2012,12,2012-12-21T14:20:00.000,viernes,8,Zona urbana,Espacio o Vía Pública,Masculino,24,Arma de Fuego,Violencia instrumental
2012,12,2012-12-21T07:00:00.000,viernes,9,Zona urbana,Espacio o Vía Pública,Masculino,25,Arma de Fuego,Violencia impulsiva o expresiva
2012,12,2012-12-21T20:30:00.000,viernes,6,Zona urbana,Lugar de Trabajo,Masculino,38,Arma de Fuego,Violencia instrumental
2012,12,2012-12-21T04:00:00.000,viernes,9,Zona urbana,Vivienda,Masculino,45,Arma de Fuego,Violencia impulsiva o expresiva
2012,12,2012-12-23T18:50:00.000,domingo,6,Zona urbana,Espacio o Vía Pública,Masculino,18,Arma de Fuego,Violencia impulsiva o expresiva
2012,12,2012-12-23T20:30:00.000,domingo,10,Zona urbana,Espacio o Vía Pública,Masculino,19,Arma de Fuego,Violencia impulsiva o expresiva
2012,12,2012-12-25T17:00:00.000,martes,6,Zona urbana,Espacio o Vía Pública,Masculino,16,Arma de Fuego,Violencia impulsiva o expresiva
2012,12,2012-12-27T14:15:00.000,jueves,3,Zona urbana,Espacio o Vía Pública,Masculino,25,Arma de Fuego,Violencia impulsiva o expresiva
2012,12,2012-12-27T20:20:00.000,jueves,7,Zona urbana,Espacio o Vía Pública,Masculino,32,Arma de Fuego,Violencia impulsiva o expresiva
2012,12,2012-12-28T13:45:00.000,viernes,9,Zona urbana,Rio / Laguna,Masculino,62,Arma de Fuego,Violencia instrumental
2013,1,2013-01-01T10:00:00.000,martes,8,Zona urbana,Espacio o Vía Pública,Masculino,19,Arma de Fuego,Violencia impulsiva o expresiva
2013,1,2013-01-03T20:30:00.000,jueves,6,Zona urbana,Espacio o Vía Pública,Masculino,19,Arma de Fuego,Violencia impulsiva o expresiva
2013,1,2013-01-05T19:00:00.000,sábado,6,Zona urbana,Espacio o Vía Pública,Masculino,36,Arma de Fuego,Violencia impulsiva o expresiva
2013,1,2013-01-06T19:00:00.000,domingo,9,Zona urbana,Espacio o Vía Pública,Masculino,15,Arma de Fuego,Violencia impulsiva o expresiva
2013,1,2013-01-07T19:20:00.000,lunes,6,Zona urbana,Espacio o Vía Pública,Masculino,32,Arma de Fuego,Violencia impulsiva o expresiva
2013,1,2013-01-07T19:05:00.000,lunes,6,Zona urbana,Espacio o Vía Pública,Masculino,47,Arma de Fuego,Violencia impulsiva o expresiva
2013,1,2013-01-08T07:00:00.000,martes,6,Zona urbana,Espacio o Vía Pública,Masculino,23,Arma de Fuego,Violencia impulsiva o expresiva
2013,1,2013-01-11T15:30:00.000,viernes,6,Zona urbana,Vivienda,Masculino,17,Arma de Fuego,Violencia impulsiva o expresiva
2013,1,2013-01-11T23:50:00.000,viernes,9,Zona urbana,Vivienda,Masculino,43,Arma de Fuego,Violencia instrumental
2013,1,2013-01-15T00:00:01.000,martes,2,Zona urbana,Espacio o Vía Pública,Masculino,28,Arma de Fuego,Violencia impulsiva o expresiva
2013,1,2013-01-18T09:15:00.000,viernes,8,Zona urbana,Espacio o Vía Pública,Masculino,17,Arma de Fuego,Violencia instrumental
2013,1,2013-01-18T23:00:00.000,viernes,6,Zona urbana,Espacio o Vía Pública,Masculino,54,Arma de Fuego,Violencia impulsiva o expresiva
2013,1,2013-01-18T14:45:00.000,viernes,6,Zona urbana,Espacio o Vía Pública,Femenino,73,Arma de Fuego,Violencia impulsiva o expresiva
2013,1,2013-01-19T00:50:00.000,sábado,4,Zona urbana,Bar o similares,Masculino,45,Arma de Fuego,Violencia impulsiva o expresiva
2013,1,2013-01-24T01:00:00.000,jueves,8,Zona urbana,Espacio o Vía Pública,Masculino,28,Arma de Fuego,Violencia instrumental
2013,1,2013-01-25T20:25:00.000,viernes,8,Zona urbana,Espacio o Vía Pública,Masculino,57,Arma de Fuego,Violencia impulsiva o expresiva
2013,1,2013-01-26T23:55:00.000,sábado,3,Zona urbana,Bar o similares,Masculino,42,Arma Blanca,Violencia impulsiva o expresiva
2013,1,2013-01-27T19:00:00.000,domingo,9,Zona urbana,Espacio o Vía Pública,Masculino,21,Arma de Fuego,Violencia impulsiva o expresiva
2013,1,2013-01-29T21:20:00.000,martes,6,Zona urbana,Espacio o Vía Pública,Masculino,27,Arma de Fuego,Violencia impulsiva o expresiva
2013,1,2013-01-30T22:30:00.000,miércoles,6,Zona urbana,Espacio o Vía Pública,Masculino,29,Arma de Fuego,Violencia impulsiva o expresiva
2013,2,2013-02-03T06:30:00.000,domingo,Guacirco,Zona Rural,Vivienda,Masculino,37,Arma de Fuego,Violencia impulsiva o expresiva
2013,2,2013-02-05T19:10:00.000,martes,9,Zona urbana,Espacio o Vía Pública,Masculino,26,Arma de Fuego,Violencia impulsiva o expresiva
2013,2,2013-02-09T18:50:00.000,sábado,El Caguán,Zona urbana,Espacio o Vía Pública,Masculino,33,Arma de Fuego,Violencia impulsiva o expresiva
2013,2,2013-02-12T20:15:00.000,martes,5,Zona urbana,Espacio o Vía Pública,Masculino,43,Arma de Fuego,Violencia impulsiva o expresiva
2013,2,2013-02-16T03:30:00.000,sábado,9,Zona urbana,Espacio o Vía Pública,Masculino,22,Arma de Fuego,Violencia instrumental
2013,2,2013-02-17T19:15:00.000,domingo,1,Zona urbana,Espacio o Vía Pública,Masculino,21,Arma de Fuego,Violencia impulsiva o expresiva
2013,2,2013-02-23T21:10:00.000,sábado,9,Zona urbana,Espacio o Vía Pública,Masculino,44,Arma de Fuego,Violencia impulsiva o expresiva
2013,2,2013-02-24T13:00:00.000,domingo,9,Zona urbana,Espacio o Vía Pública,Masculino,20,Arma de Fuego,Violencia impulsiva o expresiva
2013,3,2013-03-10T02:30:00.000,domingo,9,Zona urbana,Espacio o Vía Pública,Masculino,30,Arma de Fuego,Violencia impulsiva o expresiva
2013,3,2013-03-15T00:30:00.000,viernes,9,Zona urbana,Vivienda,Masculino,38,Arma de Fuego,Violencia impulsiva o expresiva
2013,3,2013-03-16T22:05:00.000,sábado,9,Zona urbana,Vivienda,Masculino,25,Arma de Fuego,Violencia instrumental
2013,3,2013-03-19T21:30:00.000,martes,10,Zona urbana,Espacio o Vía Pública,Masculino,13,Arma Blanca,Violencia impulsiva o expresiva
2013,3,2013-03-21T19:43:00.000,jueves,1,Zona urbana,Espacio o Vía Pública,Masculino,58,Arma de Fuego,Violencia instrumental
2013,3,2013-03-23T11:30:00.000,sábado,El Caguán,Zona urbana,Rio / Laguna,Masculino,47,Arma Blanca,Violencia impulsiva o expresiva
2013,3,2013-03-24T14:05:00.000,domingo,3,Zona urbana,Espacio o Vía Pública,Masculino,34,Arma Blanca,Violencia impulsiva o expresiva
2013,3,2013-03-27T00:00:01.000,miércoles,2,Zona urbana,Espacio o Vía Pública,Masculino,32,Arma Blanca,Violencia impulsiva o expresiva
2013,4,2013-04-05T21:45:00.000,viernes,9,Zona urbana,Espacio o Vía Pública,Masculino,23,Arma de Fuego,Violencia impulsiva o expresiva
2013,4,2013-04-11T13:30:00.000,jueves,7,Zona urbana,Espacio o Vía Pública,Masculino,16,Arma de Fuego,Violencia impulsiva o expresiva
2013,4,2013-04-18T20:30:00.000,jueves,6,Zona urbana,Espacio o Vía Pública,Masculino,31,Arma de Fuego,Violencia impulsiva o expresiva
2013,4,2013-04-20T20:10:00.000,sábado,6,Zona urbana,Espacio o Vía Pública,Masculino,35,Arma de Fuego,Violencia instrumental
2013,4,2013-04-22T11:15:00.000,lunes,6,Zona urbana,Lugar de Trabajo,Masculino,28,Arma de Fuego,Violencia impulsiva o expresiva
2013,4,2013-04-23T20:16:00.000,martes,4,Zona urbana,Espacio o Vía Pública,Masculino,43,Arma Blanca,Violencia impulsiva o expresiva
2013,4,2013-04-29T04:20:00.000,lunes,6,Zona urbana,Espacio o Vía Pública,Masculino,36,Arma de Fuego,Violencia instrumental
2013,5,2013-05-04T20:30:00.000,sábado,6,Zona urbana,Espacio o Vía Pública,Masculino,22,Arma de Fuego,Violencia instrumental
2013,5,2013-05-05T05:30:00.000,domingo,7,Zona urbana,Espacio o Vía Pública,Masculino,19,Arma de Fuego,Violencia instrumental
2013,5,2013-05-10T19:10:00.000,viernes,2,Zona urbana,Espacio o Vía Pública,Femenino,45,Arma de Fuego,Violencia instrumental
2013,5,2013-05-12T01:30:00.000,domingo,9,Zona urbana,Espacio o Vía Pública,Masculino,37,Arma de Fuego,Violencia impulsiva o expresiva
2013,5,2013-05-16T16:54:00.000,jueves,9,Zona urbana,Espacio o Vía Pública,Masculino,18,Arma de Fuego,Violencia impulsiva o expresiva
2013,5,2013-05-16T12:49:00.000,jueves,7,Zona urbana,Espacio o Vía Pública,Masculino,36,Armade Fuego,Violencia instrumental
2013,5,2013-05-19T06:45:00.000,domingo,4,Zona urbana,Espacio o Vía Pública,Masculino,28,Arma de Fuego,Violencia impulsiva o expresiva
2013,5,2013-05-23T10:35:00.000,jueves,Aipecito,Zona Rural,Finca o Campo Abierto,Masculino,27,Arma de Fuego,Violencia instrumental
2013,5,2013-05-25T22:10:00.000,sábado,9,Zona urbana,Espacio o Vía Pública,Masculino,16,Arma de Fuego,Violencia impulsiva o expresiva
2013,5,2013-05-26T04:00:00.000,domingo,10,Zona urbana,Espacio o Vía Pública,Masculino,37,Arma Blanca,Violencia impulsiva o expresiva
2013,5,2013-05-30T10:28:00.000,jueves,5,Zona urbana,Espacio o Vía Pública,Masculino,32,Arma de Fuego,Violencia impulsiva o expresiva
2013,5,2013-05-30T10:28:00.000,jueves,5,Zona urbana,Espacio o Vía Pública,Masculino,73,Arma de Fuego,Violencia impulsiva o expresiva
2013,6,2013-06-05T22:10:00.000,miércoles,1,Zona urbana,Vivienda,Masculino,40,Arma Blanca,Violencia impulsiva o expresiva
2013,6,2013-06-06T12:20:00.000,jueves,8,Zona urbana,Espacio o Vía Pública,Masculino,30,Arma de Fuego,Violencia impulsiva o expresiva
2013,6,2013-06-08T22:40:00.000,sábado,8,Zona urbana,Espacio o Vía Pública,Masculino,41,Arma Blanca,Violencia impulsiva o expresiva
2013,6,2013-06-10T01:00:00.000,lunes,10,Zona urbana,Espacio o Vía Pública,Masculino,17,Arma de Fuego,Violencia impulsiva o expresiva
2013,6,2013-06-16T18:30:00.000,domingo,7,Zona urbana,Espacio o Vía Pública,Masculino,32,Arma de Fuego,Violencia impulsiva o expresiva
2013,6,2013-06-24T01:00:00.000,lunes,7,Zona urbana,Espacio o Vía Pública,Masculino,33,Arma Blanca,Violencia impulsiva o expresiva
2013,6,2013-06-27T12:15:00.000,jueves,2,Zona urbana,Espacio o Vía Pública,Masculino,58,Arma de Fuego,Violencia instrumental
2013,6,2013-06-28T22:00:00.000,viernes,6,Zona urbana,Espacio o Vía Pública,Masculino,35,Arma de Fuego,Violencia impulsiva o expresiva
2013,6,2013-06-29T20:10:00.000,sábado,6,Zona urbana,Espacio o Vía Pública,Masculino,31,Arma de Fuego,Violencia instrumental
2013,6,2013-06-29T19:33:00.000,sábado,10,Zona urbana,Espacio o Vía Pública,Masculino,46,Arma Blanca,Violencia impulsiva o expresiva
2013,7,2013-07-01T01:40:00.000,lunes,4,Zona urbana,Espacio o Vía Pública,Masculino,25,Arma de Fuego,Violencia impulsiva o expresiva
2013,7,2013-07-07T03:00:00.000,domingo,10,Zona urbana,Espacio o Vía Pública,Masculino,26,Arma de Fuego,Violencia impulsiva o expresiva
2013,7,2013-07-08T02:10:00.000,lunes,7,Zona urbana,Espacio o Vía Pública,Masculino,35,Arma de Fuego,Violencia impulsiva o expresiva
2013,7,2013-07-14T08:00:00.000,domingo,El Caguán,Zona Rural,Finca o Campo Abierto,Masculino,25,Arma Blanca,Violencia instrumental
2013,7,2013-07-16T21:00:00.000,martes,6,Zona urbana,Espacio o Vía Pública,Masculino,24,Arma de Fuego,Violencia impulsiva o expresiva
2013,7,2013-07-16T22:00:00.000,martes,4,Zona urbana,Espacio o Vía Pública,Masculino,30,Arma de Fuego,Violencia impulsiva o expresiva
2013,7,2013-07-18T13:15:00.000,jueves,4,Zona urbana,Espacio o Vía Pública,Masculino,35,Arma Blanca,Violencia impulsiva o expresiva
2013,7,2013-07-21T01:00:00.000,domingo,8,Zona urbana,Espacio o Vía Pública,Femenino,40,Arma Blanca,Violencia impulsiva o expresiva
2013,7,2013-07-26T01:30:00.000,viernes,10,Zona urbana,Espacio o Vía Pública,Masculino,30,Arma Blanca,Violencia impulsiva o expresiva
2013,7,2013-07-31T15:30:00.000,miércoles,6,Zona urbana,Espacio o Vía Pública,Masculino,28,Arma Blanca,Violencia impulsiva o expresiva
2013,8,2013-08-04T05:30:00.000,domingo,10,Zona urbana,Espacio o Vía Pública,Masculino,41,Arma de Fuego,Violencia instrumental
2013,8,2013-08-05T14:15:00.000,lunes,6,Zona urbana,Vivienda,Masculino,29,Arma de Fuego,Violencia impulsiva o expresiva
2013,8,2013-08-07T19:25:00.000,miércoles,8,Zona urbana,Espacio o Vía Pública,Masculino,20,Arma de Fuego,Violencia impulsiva o expresiva
2013,8,2013-08-11T06:50:00.000,domingo,8,Zona urbana,Espacio o Vía Pública,Masculino,25,Otra arma,Violencia impulsiva o expresiva
2013,8,2013-08-15T12:00:00.000,jueves,4,Zona urbana,Espacio o Vía Pública,Masculino,44,Arma Contundente,Violencia impulsiva o expresiva
2013,8,2013-08-17T00:00:00.000,sábado,10,Zona urbana,Espacio o Vía Pública,Masculino,22,Arma de Fuego,Violencia impulsiva o expresiva
